Fecha,Precipitacion (mm),Temperatura (C)
2017-10-26 19:00:00,1.2,17.8
2017-10-26 19:10:00,0.2,18.0
2017-10-26 19:20:00,0.0,18.1
2017-10-26 19:30:00,0.0,18.1
2017-10-26 19:40:00,0.0,17.9
2017-10-26 19:50:00,11.2,14.3
2017-10-26 20:00:00,16.0,13.0
2017-10-26 20:10:00,0.4,12.7
2017-10-26 20:20:00,0.0,12.1
2017-10-26 20:30:00,0.0,11.9
2017-10-26 20:40:00,0.2,12.3
2017-10-26 20:50:00,0.0,12.1
2017-10-26 21:00:00,0.0,13.0
